id,name,bic
B_1,البنك السعودي الهولندي,AAAL
B_2,بنك البلاد,ALBI
B_3,البنك العربي الوطني,ARNB
B_4,بطاقة نظام  البركة,BARA
B_5,بنك الجزيرة,BJAZ
B_6,بنكي,BNKY
B_7,البنك الباريبس,BNPA
B_8,البنك السعودي الفرنسي,BSFR
B_9,بنك دويتشة,DEUT
B_10,البنك الامارات,EBIL
B_11,بنك الخليج,GULF
B_12,بنك الإنماء,INMA
B_13,بنك الكويت الوطني,NBOK
B_14,البنك الاهلي التجاري,NCBK
B_15,بنك الرياض,RIBL
B_16,مصرف الراجحي,RJHI
B_17,البنك السعودى البريطاني ساب,SABB
B_18,البنك الامريكي سامبا,SAMB
B_19,البنك السعودي للاستثمار,SIBC
B_20,البنك السعودي المتحد,USCB
