id,name,order
__export__.mk_surah_1,سورة الفاتحة,1
__export__.mk_surah_2,  سورة البقرة,2
__export__.mk_surah_3,  سورة آل عمران,3
__export__.mk_surah_4,  سورة النساء,4
__export__.mk_surah_5,  سورة المائدة,5
__export__.mk_surah_6,  سورة الأنعام,6
__export__.mk_surah_7,  سورة الأعراف,7
__export__.mk_surah_8,  سورة الأنفال,8
__export__.mk_surah_9,  سورة التوبة,9
__export__.mk_surah_10,  سورة يونس,10
__export__.mk_surah_11,  سورة هود,11
__export__.mk_surah_12,  سورة يوسف,12
__export__.mk_surah_13,  سورة الرعد,13
__export__.mk_surah_14,  سورة إبراهيم,14
__export__.mk_surah_15,  سورة الحجر,15
__export__.mk_surah_16,  سورة النحل,16
__export__.mk_surah_17, سورة الإسراء,17
__export__.mk_surah_18,  سورة الكهف,18
__export__.mk_surah_19,  سورة مريم,19
__export__.mk_surah_20,  سورة طه,20
__export__.mk_surah_21,  سورة الأنبياء,21
__export__.mk_surah_22,  سورة الحج,22
__export__.mk_surah_23,  سورة المؤمنون,23
__export__.mk_surah_24,  سورة النّور,24
__export__.mk_surah_25,  سورة الفرقان,25
__export__.mk_surah_26,  سورة الشعراء,26
__export__.mk_surah_27,  سورة النّمل,27
__export__.mk_surah_28,  سورة القصص,28
__export__.mk_surah_29,  سورة العنكبوت,29
__export__.mk_surah_30,  سورة الرّوم,30
__export__.mk_surah_31,  سورة لقمان,31
__export__.mk_surah_32,  سورة السجدة,32
__export__.mk_surah_33,  سورة الأحزاب,33
__export__.mk_surah_34,  سورة سبأ,34
__export__.mk_surah_35,  سورة فاطر,35
__export__.mk_surah_36,  سورة يس,36
__export__.mk_surah_37,  سورة الصافات,37
__export__.mk_surah_38,  سورة ص,38
__export__.mk_surah_39,  سورة الزمر,39
__export__.mk_surah_40,  سورة غافر,40
__export__.mk_surah_41,  سورة فصّلت,41
__export__.mk_surah_42,  سورة الشورى,42
__export__.mk_surah_43,  سورة الزخرف,43
__export__.mk_surah_44,  سورة الدّخان,44
__export__.mk_surah_45,  سورة الجاثية,45
__export__.mk_surah_46,  سورة الأحقاف,46
__export__.mk_surah_47,  سورة محمد,47
__export__.mk_surah_48,  سورة الفتح,48
__export__.mk_surah_49,  سورة الحجرات,49
__export__.mk_surah_50,  سورة ق,50
__export__.mk_surah_51,  سورة الذاريات,51
__export__.mk_surah_52,  سورة الطور,52
__export__.mk_surah_53,  سورة النجم,53
__export__.mk_surah_54,  سورة القمر,54
__export__.mk_surah_55,  سورة الرحمن,55
__export__.mk_surah_56,  سورة الواقعة,56
__export__.mk_surah_57,  سورة الحديد,57
__export__.mk_surah_58,  سورة المجادلة,58
__export__.mk_surah_59,  سورة الحشر,59
__export__.mk_surah_60,  سورة الممتحنة,60
__export__.mk_surah_61,  سورة الصف,61
__export__.mk_surah_62,  سورة الجمعة,62
__export__.mk_surah_63,  سورة المنافقون,63
__export__.mk_surah_64,  سورة التغابن,64
__export__.mk_surah_65,  سورة الطلاق,65
__export__.mk_surah_66,  سورة التحريم,66
__export__.mk_surah_67,  سورة الملك,67
__export__.mk_surah_68,  سورة القلم,68
__export__.mk_surah_69,  سورة الحاقة,69
__export__.mk_surah_70,  سورة المعارج,70
__export__.mk_surah_71,  سورة نوح,71
__export__.mk_surah_72,  سورة الجن,72
__export__.mk_surah_73,  سورة المزّمّل,73
__export__.mk_surah_74,  سورة المدّثر,74
__export__.mk_surah_75,  سورة القيامة,75
__export__.mk_surah_76,  سورة الإنسان,76
__export__.mk_surah_77,  سورة المرسلات,77
__export__.mk_surah_78,  سورة النبأ,78
__export__.mk_surah_79,  سورة النازعات,79
__export__.mk_surah_80,  سورة عبس,80
__export__.mk_surah_81,  سورة التكوير,81
__export__.mk_surah_82,  سورة الإنفطار,82
__export__.mk_surah_83,  سورة المطفّفين,83
__export__.mk_surah_84,  سورة الإنشقاق,84
__export__.mk_surah_85,  سورة البروج,85
__export__.mk_surah_86,  سورة الطارق,86
__export__.mk_surah_87,  سورة الأعلى,87
__export__.mk_surah_88,  سورة الغاشية,88
__export__.mk_surah_89,  سورة الفجر,89
__export__.mk_surah_90,  سورة البلد,90
__export__.mk_surah_91,  سورة الشمس,91
__export__.mk_surah_92,  سورة الليل,92
__export__.mk_surah_93,  سورة الضحى,93
__export__.mk_surah_94,  سورة الشرح,94
__export__.mk_surah_95,  سورة التين,95
__export__.mk_surah_96,  سورة العلق,96
__export__.mk_surah_97,  سورة القدر,97
__export__.mk_surah_98,  سورة البينة,98
__export__.mk_surah_99,  سورة الزلزلة,99
__export__.mk_surah_100,  سورة العاديات,100
__export__.mk_surah_101,  سورة القارعة,101
__export__.mk_surah_102,  سورة التكاثر,102
__export__.mk_surah_103,  سورة العصر,103
__export__.mk_surah_104,  سورة الهمزة,104
__export__.mk_surah_105,  سورة الفيل,105
__export__.mk_surah_106,  سورة قريش,106
__export__.mk_surah_107,  سورة الماعون,107
__export__.mk_surah_108,  سورة الكوثر,108
__export__.mk_surah_109,  سورة الكافرون,109
__export__.mk_surah_110,  سورة النصر,110
__export__.mk_surah_111,  سورة المسد,111
__export__.mk_surah_112,  سورة الإخلاص,112
__export__.mk_surah_113,  سورة الفلق,113
__export__.mk_surah_114,  سورة النّاس,114
